pair_id,query,lodging_id,relevance
1,서울 조용한 워케이션 숙소,1,2
2,서울 조용한 워케이션 숙소,2,3
3,서울 조용한 워케이션 숙소,3,1
4,서울 조용한 워케이션 숙소,4,3
5,서울 조용한 워케이션 숙소,5,1
6,서울 조용한 워케이션 숙소,6,2
7,서울 조용한 워케이션 숙소,7,0
8,서울 조용한 워케이션 숙소,8,2
9,서울 조용한 워케이션 숙소,9,1
10,서울 조용한 워케이션 숙소,10,2
11,서울 조용한 워케이션 숙소,11,0
12,서울 조용한 워케이션 숙소,12,2
13,서울 조용한 워케이션 숙소,13,1
14,서울 조용한 워케이션 숙소,14,2
15,서울 조용한 워케이션 숙소,15,0
16,서울 조용한 워케이션 숙소,16,2
17,서울 조용한 워케이션 숙소,17,1
18,서울 조용한 워케이션 숙소,18,2
19,서울 조용한 워케이션 숙소,19,0
20,서울 조용한 워케이션 숙소,20,2
21,서울 조용한 워케이션 숙소,21,1
22,서울 조용한 워케이션 숙소,22,2
23,서울 조용한 워케이션 숙소,23,0
24,서울 조용한 워케이션 숙소,24,2
25,서울 조용한 워케이션 숙소,25,1
26,서울 조용한 워케이션 숙소,26,2
27,서울 조용한 워케이션 숙소,27,0
28,서울 조용한 워케이션 숙소,28,2
29,서울 조용한 워케이션 숙소,29,1
30,서울 조용한 워케이션 숙소,30,2
31,서울 조용한 워케이션 숙소,31,0
32,서울 조용한 워케이션 숙소,32,2
33,서울 조용한 워케이션 숙소,33,1
34,서울 조용한 워케이션 숙소,34,2
35,서울 조용한 워케이션 숙소,35,0
36,서울 조용한 워케이션 숙소,36,2
37,서울 조용한 워케이션 숙소,37,1
38,서울 조용한 워케이션 숙소,38,2
39,서울 조용한 워케이션 숙소,39,0
40,서울 조용한 워케이션 숙소,40,2
41,서울 저렴하고 와이파이 좋은 숙소,1,2
42,서울 저렴하고 와이파이 좋은 숙소,2,3
43,서울 저렴하고 와이파이 좋은 숙소,3,1
44,서울 저렴하고 와이파이 좋은 숙소,4,3
45,서울 저렴하고 와이파이 좋은 숙소,5,1
46,서울 저렴하고 와이파이 좋은 숙소,6,1
47,서울 저렴하고 와이파이 좋은 숙소,7,1
48,서울 저렴하고 와이파이 좋은 숙소,8,2
49,서울 저렴하고 와이파이 좋은 숙소,9,0
50,서울 저렴하고 와이파이 좋은 숙소,10,2
51,서울 저렴하고 와이파이 좋은 숙소,11,1
52,서울 저렴하고 와이파이 좋은 숙소,12,1
53,서울 저렴하고 와이파이 좋은 숙소,13,1
54,서울 저렴하고 와이파이 좋은 숙소,14,2
55,서울 저렴하고 와이파이 좋은 숙소,15,0
56,서울 저렴하고 와이파이 좋은 숙소,16,2
57,서울 저렴하고 와이파이 좋은 숙소,17,1
58,서울 저렴하고 와이파이 좋은 숙소,18,1
59,서울 저렴하고 와이파이 좋은 숙소,19,1
60,서울 저렴하고 와이파이 좋은 숙소,20,2
61,서울 저렴하고 와이파이 좋은 숙소,21,0
62,서울 저렴하고 와이파이 좋은 숙소,22,2
63,서울 저렴하고 와이파이 좋은 숙소,23,1
64,서울 저렴하고 와이파이 좋은 숙소,24,1
65,서울 저렴하고 와이파이 좋은 숙소,25,1
66,서울 저렴하고 와이파이 좋은 숙소,26,2
67,서울 저렴하고 와이파이 좋은 숙소,27,0
68,서울 저렴하고 와이파이 좋은 숙소,28,2
69,서울 저렴하고 와이파이 좋은 숙소,29,1
70,서울 저렴하고 와이파이 좋은 숙소,30,1
71,서울 저렴하고 와이파이 좋은 숙소,31,1
72,서울 저렴하고 와이파이 좋은 숙소,32,2
73,서울 저렴하고 와이파이 좋은 숙소,33,0
74,서울 저렴하고 와이파이 좋은 숙소,34,2
75,서울 저렴하고 와이파이 좋은 숙소,35,1
76,서울 저렴하고 와이파이 좋은 숙소,36,1
77,서울 저렴하고 와이파이 좋은 숙소,37,1
